season,mvp_rank,player_id,player_name,player_url,team,mvp_share
2019-20,1.0,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.952
2019-20,2.0,jamesle01,LeBron James,/players/j/jamesle01.html,LAL,0.746
2019-20,3.0,hardeja01,James Harden,/players/h/hardeja01.html,HOU,0.363
2019-20,4.0,doncilu01,Luka Dončić,/players/d/doncilu01.html,DAL,0.198
2019-20,5.0,leonaka01,Kawhi Leonard,/players/l/leonaka01.html,LAC,0.166
2019-20,6.0,davisan02,Anthony Davis,/players/d/davisan02.html,LAL,0.081
2019-20,7.0,paulch01,Chris Paul,/players/p/paulch01.html,OKC,0.026
2019-20,8.0,lillada01,Damian Lillard,/players/l/lillada01.html,POR,0.023
2019-20,9.0,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.018
2019-20,10.0,siakapa01,Pascal Siakam,/players/s/siakapa01.html,TOR,0.017
2019-20,11.0,butleji01,Jimmy Butler,/players/b/butleji01.html,MIA,0.009
2019-20,12.0,tatumja01,Jayson Tatum,/players/t/tatumja01.html,BOS,0.001
2020-21,1.0,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.961
2020-21,2.0,embiijo01,Joel Embiid,/players/e/embiijo01.html,PHI,0.58
2020-21,3.0,curryst01,Stephen Curry,/players/c/curryst01.html,GSW,0.449
2020-21,4.0,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.345
2020-21,5.0,paulch01,Chris Paul,/players/p/paulch01.html,PHO,0.138
2020-21,6.0,doncilu01,Luka Dončić,/players/d/doncilu01.html,DAL,0.042
2020-21,7.0,lillada01,Damian Lillard,/players/l/lillada01.html,POR,0.038
2020-21,8.0,randlju01,Julius Randle,/players/r/randlju01.html,NYK,0.02
2020-21,9.0,rosede01,Derrick Rose,/players/r/rosede01.html,TOT,0.01
2020-21,10.0,goberru01,Rudy Gobert,/players/g/goberru01.html,UTA,0.008
2020-21,11.0,westbru01,Russell Westbrook,/players/w/westbru01.html,WAS,0.005
2020-21,12.0,simmobe01,Ben Simmons,/players/s/simmobe01.html,PHI,0.003
2020-21,,hardeja01,James Harden,/players/h/hardeja01.html,TOT,0.001
2020-21,,jamesle01,LeBron James,/players/j/jamesle01.html,LAL,0.001
2020-21,,leonaka01,Kawhi Leonard,/players/l/leonaka01.html,LAC,0.001
2021-22,1.0,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.875
2021-22,2.0,embiijo01,Joel Embiid,/players/e/embiijo01.html,PHI,0.706
2021-22,3.0,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.595
2021-22,4.0,bookede01,Devin Booker,/players/b/bookede01.html,PHO,0.216
2021-22,5.0,doncilu01,Luka Dončić,/players/d/doncilu01.html,DAL,0.146
2021-22,6.0,tatumja01,Jayson Tatum,/players/t/tatumja01.html,BOS,0.043
2021-22,7.0,moranja01,Ja Morant,/players/m/moranja01.html,MEM,0.01
2021-22,8.0,curryst01,Stephen Curry,/players/c/curryst01.html,GSW,0.004
2021-22,9.0,paulch01,Chris Paul,/players/p/paulch01.html,PHO,0.002
2021-22,,derozde01,DeMar DeRozan,/players/d/derozde01.html,CHI,0.001
2021-22,,duranke01,Kevin Durant,/players/d/duranke01.html,BRK,0.001
2021-22,,jamesle01,LeBron James,/players/j/jamesle01.html,LAL,0.001
2022-23,1.0,embiijo01,Joel Embiid,/players/e/embiijo01.html,PHI,0.915
2022-23,2.0,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.674
2022-23,3.0,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.606
2022-23,4.0,tatumja01,Jayson Tatum,/players/t/tatumja01.html,BOS,0.28
2022-23,5.0,gilgesh01,Shai Gilgeous-Alexander,/players/g/gilgesh01.html,OKC,0.046
2022-23,6.0,mitchdo01,Donovan Mitchell,/players/m/mitchdo01.html,CLE,0.03
2022-23,7.0,sabondo01,Domantas Sabonis,/players/s/sabondo01.html,SAC,0.027
2022-23,8.0,doncilu01,Luka Dončić,/players/d/doncilu01.html,DAL,0.01
2022-23,9.0,curryst01,Stephen Curry,/players/c/curryst01.html,GSW,0.005
2022-23,10.0,butleji01,Jimmy Butler,/players/b/butleji01.html,MIA,0.003
2022-23,11.0,foxde01,De'Aaron Fox,/players/f/foxde01.html,SAC,0.002
2022-23,,brunsja01,Jalen Brunson,/players/b/brunsja01.html,NYK,0.001
2022-23,,moranja01,Ja Morant,/players/m/moranja01.html,MEM,0.001
2023-24,1.0,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.935
2023-24,2.0,gilgesh01,Shai Gilgeous-Alexander,/players/g/gilgesh01.html,OKC,0.646
2023-24,3.0,doncilu01,Luka Dončić,/players/d/doncilu01.html,DAL,0.572
2023-24,4.0,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.194
2023-24,5.0,brunsja01,Jalen Brunson,/players/b/brunsja01.html,NYK,0.143
2023-24,6.0,tatumja01,Jayson Tatum,/players/t/tatumja01.html,BOS,0.087
2023-24,7.0,edwaran01,Anthony Edwards,/players/e/edwaran01.html,MIN,0.018
2023-24,8.0,sabondo01,Domantas Sabonis,/players/s/sabondo01.html,SAC,0.003
2023-24,9.0,duranke01,Kevin Durant,/players/d/duranke01.html,PHO,0.001
